sweep,energy_per_site,mean_label_or_spin
0.0,2.0,32768.5
25.0,0.529937744140625,32601.697677612305
50.0,0.442901611328125,32745.11492919922
75.0,0.3916168212890625,32840.21250915527
100.0,0.35675048828125,32725.530014038086
125.0,0.3307037353515625,32704.732498168945
150.0,0.3106842041015625,32500.818069458008
175.0,0.2954254150390625,32553.6788482666
200.0,0.283447265625,32421.924270629883
225.0,0.26953125,32411.129470825195
250.0,0.2606048583984375,32308.912841796875
275.0,0.2527313232421875,32243.642120361328
300.0,0.2447662353515625,32187.940841674805
325.0,0.236419677734375,32051.606857299805
350.0,0.229583740234375,32033.860473632812
375.0,0.22369384765625,32115.038192749023
400.0,0.2183074951171875,31906.892150878906
425.0,0.21405029296875,31805.44889831543
450.0,0.21044921875,31762.991149902344
475.0,0.2062835693359375,31744.934173583984
500.0,0.2020111083984375,31712.210708618164
525.0,0.1982269287109375,31737.610137939453
550.0,0.194732666015625,31852.23143005371
575.0,0.1900787353515625,31897.724197387695
600.0,0.1866912841796875,31846.06413269043
625.0,0.183013916015625,31848.03190612793
650.0,0.1796112060546875,31846.854217529297
675.0,0.175567626953125,31919.87986755371
700.0,0.1739044189453125,31936.243057250977
725.0,0.1704864501953125,32017.610290527344
750.0,0.167144775390625,32025.92041015625
775.0,0.164154052734375,32021.996871948242
800.0,0.160552978515625,32085.065994262695
825.0,0.15814208984375,32107.096954345703
850.0,0.1565399169921875,32043.647903442383
875.0,0.154205322265625,31948.045608520508
900.0,0.1521148681640625,31916.34376525879
925.0,0.1497802734375,31968.199325561523
950.0,0.1478729248046875,31993.429153442383
975.0,0.1458740234375,32051.80389404297
1000.0,0.14385986328125,32180.186477661133
1025.0,0.141815185546875,32241.639709472656
1050.0,0.1401824951171875,32194.918380737305
1075.0,0.1392669677734375,32321.18719482422
1100.0,0.138092041015625,32369.393753051758
1125.0,0.1372528076171875,32419.372100830078
1150.0,0.1358489990234375,32408.529754638672
1175.0,0.1352691650390625,32437.734161376953
1200.0,0.13458251953125,32371.12159729004
1225.0,0.1341705322265625,32335.2725982666
1250.0,0.13189697265625,32432.716506958008
1275.0,0.131256103515625,32503.3572845459
1300.0,0.1303863525390625,32495.125885009766
1325.0,0.1295166015625,32572.003509521484
1350.0,0.1287689208984375,32646.68194580078
1375.0,0.128082275390625,32672.30601501465
1400.0,0.12811279296875,32694.690032958984
1425.0,0.127105712890625,32696.324630737305
1450.0,0.12652587890625,32786.72457885742
1475.0,0.12591552734375,32831.855041503906
1500.0,0.1248779296875,32961.14535522461
1525.0,0.1241607666015625,32982.72346496582
1550.0,0.1236114501953125,33029.65478515625
1575.0,0.12274169921875,33057.825424194336
1600.0,0.12152099609375,33095.91946411133
1625.0,0.121063232421875,33027.46592712402
1650.0,0.12066650390625,33001.37852478027
1675.0,0.1199798583984375,33049.31428527832
1700.0,0.11962890625,33047.126205444336
1725.0,0.1188812255859375,33019.39889526367
1750.0,0.1178436279296875,33057.375915527344
1775.0,0.116851806640625,33059.60829162598
1800.0,0.116424560546875,33105.865646362305
1825.0,0.115814208984375,33129.15586853027
1850.0,0.1151885986328125,33129.88856506348
1875.0,0.114105224609375,33233.7325592041
1900.0,0.113616943359375,33257.946685791016
1925.0,0.1127471923828125,33361.07815551758
1950.0,0.1116943359375,33431.02363586426
1975.0,0.110687255859375,33500.62959289551
2000.0,0.1102752685546875,33465.73941040039
