time,AC_mean,CH_mean,AC_energy,CH_energy
1.050000000000000000e+02,1.681023682884232318e-01,-9.802724800857948173e-04,1.196099144427550942e-02,8.930934082150951414e-02
1.075000000000000000e+02,1.674913975042923719e-01,-9.802724800858086951e-04,1.189717362088704537e-02,8.865718115150705847e-02
1.100000000000000000e+02,1.668704751595548319e-01,-9.802724800858225729e-04,1.182950184061181721e-02,8.805667974308405144e-02
1.125000000000000000e+02,1.662478579917365251e-01,-9.802724800858086951e-04,1.175832868684507752e-02,8.750120718558526689e-02
1.150000000000000000e+02,1.656232374493196990e-01,-9.802724800858017562e-04,1.168729512817519127e-02,8.695637650720890177e-02
1.175000000000000000e+02,1.650073131183902031e-01,-9.802724800858156340e-04,1.162149277044734717e-02,8.640976323728466468e-02
1.200000000000000000e+02,1.643943347698014479e-01,-9.802724800857948173e-04,1.155699788260580556e-02,8.584844936434649076e-02
1.225000000000000000e+02,1.637698133802893419e-01,-9.802724800857948173e-04,1.148985328157849269e-02,8.529070079353286149e-02
1.250000000000000000e+02,1.631321799464634237e-01,-9.802724800858017562e-04,1.141962418427015270e-02,8.472073865963558603e-02
1.275000000000000000e+02,1.624851353117066632e-01,-9.802724800858086951e-04,1.134658461790954281e-02,8.416756843674644273e-02
1.300000000000000000e+02,1.618635787359130884e-01,-9.802724800857948173e-04,1.127590466254395699e-02,8.364858296759641876e-02
1.325000000000000000e+02,1.612785743453766241e-01,-9.802724800858156340e-04,1.120692004157360783e-02,8.316902778593131262e-02
1.350000000000000000e+02,1.606916507349353540e-01,-9.802724800858017562e-04,1.113465950291595355e-02,8.269258230933354548e-02
1.375000000000000000e+02,1.600737302095015246e-01,-9.802724800857878784e-04,1.105808680408893255e-02,8.221474524007438278e-02
1.400000000000000000e+02,1.594298180650514096e-01,-9.802724800857948173e-04,1.097731341095008195e-02,8.175634310247391345e-02
1.425000000000000000e+02,1.588055688578932090e-01,-9.802724800858086951e-04,1.090007543770388221e-02,8.131386075188284934e-02
1.450000000000000000e+02,1.582089966269114856e-01,-9.802724800858156340e-04,1.082405518429162099e-02,8.087519564261763660e-02
1.475000000000000000e+02,1.575929965816864342e-01,-9.802724800858086951e-04,1.073846078313709859e-02,8.044878437017044526e-02
1.500000000000000000e+02,1.569694009667365053e-01,-9.802724800857948173e-04,1.064772422690754561e-02,8.002072535663420916e-02
1.525000000000000000e+02,1.563473722550066114e-01,-9.802724800858086951e-04,1.054346210585375629e-02,7.960911002169540618e-02
1.550000000000000000e+02,1.556734778239267647e-01,-9.802724800858295118e-04,1.038041022922906592e-02,7.924684739215569207e-02
1.575000000000000000e+02,1.552113532683493669e-01,-9.802724800858433896e-04,1.029022581037136903e-02,7.890515781741530565e-02
1.600000000000000000e+02,1.549063165834833888e-01,-9.802724800858295118e-04,1.024543629244586279e-02,7.856386645988779061e-02
1.625000000000000000e+02,1.546190833744155446e-01,-9.802724800858364507e-04,1.020269498700909425e-02,7.820473040655706587e-02
1.650000000000000000e+02,1.543455710636684186e-01,-9.802724800858225729e-04,1.016015276895321749e-02,7.784692780027881176e-02
1.675000000000000000e+02,1.540883175518883985e-01,-9.802724800858225729e-04,1.011822912420000213e-02,7.748525934704644791e-02
1.700000000000000000e+02,1.538426647845219097e-01,-9.802724800858017562e-04,1.007749426507262985e-02,7.710163081151540088e-02
1.725000000000000000e+02,1.535753924266142212e-01,-9.802724800858225729e-04,1.003505573957445482e-02,7.673056279396198165e-02
1.750000000000000000e+02,1.532779805359739123e-01,-9.802724800858156340e-04,9.992458557164747568e-03,7.638631575788878969e-02
1.775000000000000000e+02,1.529692974903369973e-01,-9.802724800857948173e-04,9.951684304741980486e-03,7.606127903187182016e-02
1.800000000000000000e+02,1.526583362068779370e-01,-9.802724800857948173e-04,9.910993056471278928e-03,7.574063200293956744e-02
1.825000000000000000e+02,1.523575458170216557e-01,-9.802724800857878784e-04,9.870669038277627913e-03,7.543447417102797092e-02
1.850000000000000000e+02,1.520712625742603463e-01,-9.802724800858156340e-04,9.830805689477558132e-03,7.515183240891656902e-02
1.875000000000000000e+02,1.517795555528318463e-01,-9.802724800857809395e-04,9.790169381828530207e-03,7.488893268865140507e-02
1.900000000000000000e+02,1.514668674353107647e-01,-9.802724800857740006e-04,9.748430965934105907e-03,7.464378585541175948e-02
1.925000000000000000e+02,1.511437283799809128e-01,-9.802724800857809395e-04,9.705317385234099592e-03,7.440837232810590396e-02
1.950000000000000000e+02,1.508304128080378559e-01,-9.802724800857809395e-04,9.661684916613594298e-03,7.417530761779131399e-02
1.975000000000000000e+02,1.505421943287753583e-01,-9.802724800857948173e-04,9.619663617399073358e-03,7.393494383486887145e-02
2.000000000000000000e+02,1.502652579958763390e-01,-9.802724800857948173e-04,9.578285860764340631e-03,7.367933069067877927e-02
