time,intended_target_energy,wrong_target_energy
5.679195865080063577e+00,3.709249984386825405e-02,5.348329651373825988e-02
6.267211210298139434e+00,3.580665850673180051e-02,5.162925502844700060e-02
6.916108774482800037e+00,3.443935716651912171e-02,4.965775719707840596e-02
7.632192210449299630e+00,3.299100695828090235e-02,4.756939583106104680e-02
8.422417841685700068e+00,3.146329001994663949e-02,4.536659638788740484e-02
9.294462238886620042e+00,2.985937336742567824e-02,4.305392535543657584e-02
1.025679679325900473e+01,2.818412096327867905e-02,4.063839603162480718e-02
1.131877001103510061e+01,2.644429221852237499e-02,3.812975474212949856e-02
1.249069832863486340e+01,2.464871183283311173e-02,3.554072573124317236e-02
1.378396633069267274e+01,2.280839250822065331e-02,3.288718810146593757e-02
1.521113734450702282e+01,2.093658903511115207e-02,3.018825379967582725e-02
1.678607548527209303e+01,1.904876007298362053e-02,2.746621250901904593e-02
1.852408033768789863e+01,1.716241331557212535e-02,2.474630839419714873e-02
2.044203558230057283e+01,1.529681146348303711e-02,2.205631614638821347e-02
2.255857301038894036e+01,1.347252140902544318e-02,1.942589095746020955e-02
2.489425352070428943e+01,1.171079808344372038e-02,1.688568009559152788e-02
2.747176685633862192e+01,1.003280806266573094e-02,1.446620343033251307e-02
3.031615202204600479e+01,8.458716255164023395e-03,1.219653653716469902e-02
3.345504052323978073e+01,7.006680906773184690e-03,1.010286160521604339e-02
3.691892478958744306e+01,5.691825673418487823e-03,8.206985279431686098e-03
4.074145439077832975e+01,4.525279200840720897e-03,6.524953840392778807e-03
4.495976292202358593e+01,3.513387828267692907e-03,5.065918009785011326e-03
4.961482873478611566e+01,2.657210309005373066e-03,3.831404393181917639e-03
5.475187301702441545e+01,1.952389797733203617e-03,2.815130899834027926e-03
6.042079909006239546e+01,1.389464741793408360e-03,2.003455013642233083e-03
6.667667718959226875e+01,9.546274771943885976e-04,1.376467604983748136e-03
7.358027944016892263e+01,6.308733019706391429e-04,9.096497678485416984e-04
8.119867022015365876e+01,3.994152515118182863e-04,5.759127699301525493e-04
8.960585765215098775e+01,2.411864679834712071e-04,3.477643037422194455e-04
9.888351254777914789e+01,1.382289082883047084e-04,1.993108504380260864e-04
1.091217617908942259e+02,7.478490890860168313e-05,1.078315960031700125e-04
1.204200638665125922e+02,3.796702377312051392e-05,5.474426363144223442e-05
1.328881750406729623e+02,1.796869931171011701e-05,2.590888393339881390e-05
1.466472155770992742e+02,7.870242576539749634e-06,1.134802235297996312e-05
1.618308463483232629e+02,3.164740426918853570e-06,4.563206884259002958e-06
1.785865672713418348e+02,1.158038682581351636e-06,1.669764143575667240e-06
1.970771501813377995e+02,3.818577234861720879e-07,5.505967496727810444e-07
2.174822200629767792e+02,1.122517250826679009e-07,1.618546154086565731e-07
2.400000000000000000e+02,2.906913907364763383e-08,4.191449460185143153e-08
