time,portrait_energy,double_well_energy,max_channel_mean_drift,mean_R,mean_G,mean_B
4.250000000000000000e+01,6.212996708455232753e-06,8.062113173612114880e-02,7.244205235679146426e-15,2.563580159627880661e-01,2.349979575163348711e-01,9.989267141150892648e-02
4.500000000000000000e+01,5.840914901103967372e-06,7.954404088109018334e-02,7.410738689372919907e-15,2.563580159627862898e-01,2.349979575163347045e-01,9.989267141150884322e-02
4.750000000000000000e+01,5.509012046700616499e-06,7.853735172446717205e-02,9.520162436160717334e-15,2.563580159627870669e-01,2.349979575163325951e-01,9.989267141151057794e-02
5.000000000000000000e+01,5.211228865189066400e-06,7.760240591595027326e-02,9.048317650695025804e-15,2.563580159627890653e-01,2.349979575163330670e-01,9.989267141150941220e-02
5.250000000000000000e+01,4.942653170992789824e-06,7.671703182274268451e-02,8.160139230994900572e-15,2.563580159627849575e-01,2.349979575163340106e-01,9.989267141150830198e-02
5.500000000000000000e+01,4.699262039801002734e-06,7.587058572827870551e-02,7.188694084447888599e-15,2.563580159627873445e-01,2.349979575163349266e-01,9.989267141150867668e-02
5.750000000000000000e+01,4.477730471549364840e-06,7.506188284085923978e-02,1.229571999772360869e-14,2.563580159627860122e-01,2.349979575163298195e-01,9.989267141150873219e-02
6.000000000000000000e+01,4.275287343338337887e-06,7.426968640591427584e-02,1.074140776324838953e-14,2.563580159627853461e-01,2.349979575163313739e-01,9.989267141150823259e-02
6.250000000000000000e+01,4.089605545385853031e-06,7.348452124936846741e-02,9.270362255620057113e-15,2.563580159627855126e-01,2.349979575163328449e-01,9.989267141150867668e-02
6.500000000000000000e+01,3.918717192796686115e-06,7.274484806045969365e-02,1.054711873393898713e-14,2.563580159627871224e-01,2.349979575163315682e-01,9.989267141150759421e-02
6.750000000000000000e+01,3.760947480865262508e-06,7.205888695025627899e-02,1.096345236817342084e-14,2.563580159627852906e-01,2.349979575163311518e-01,9.989267141150666440e-02
7.000000000000000000e+01,3.614862572764364726e-06,7.141589529046032947e-02,9.547918011776346248e-15,2.563580159627857902e-01,2.349979575163325674e-01,9.989267141150569296e-02
7.250000000000000000e+01,3.479228168628109849e-06,7.079901083416730023e-02,1.101896351940467866e-14,2.563580159627855126e-01,2.349979575163310963e-01,9.989267141150710849e-02
7.500000000000000000e+01,3.352976290082705237e-06,7.020409316742708128e-02,1.010302952408892452e-14,2.563580159627830146e-01,2.349979575163320678e-01,9.989267141150699747e-02
7.750000000000000000e+01,3.235178444438976210e-06,6.963040313398632941e-02,1.243449787580175325e-14,2.563580159627809052e-01,2.349979575163296808e-01,9.989267141150626195e-02
8.000000000000000000e+01,3.125023787153944995e-06,6.907604229586053468e-02,1.096345236817342084e-14,2.563580159627862898e-01,2.349979575163311518e-01,9.989267141150567908e-02
8.250000000000000000e+01,3.021801232689547330e-06,6.855143903253671511e-02,1.210143096841420629e-14,2.563580159627841248e-01,2.349979575163300138e-01,9.989267141150576235e-02
