sweep,energy_per_site,mean_label_or_spin
0.0,-0.000732421875,0.001373291015625
5.0,-1.32611083984375,0.0250244140625
10.0,-1.50921630859375,0.0257568359375
15.0,-1.60552978515625,0.02496337890625
20.0,-1.64581298828125,0.026580810546875
25.0,-1.67315673828125,0.03778076171875
30.0,-1.69256591796875,0.04913330078125
35.0,-1.71466064453125,0.049896240234375
40.0,-1.73095703125,0.0587158203125
45.0,-1.74835205078125,0.06201171875
50.0,-1.75390625,0.062042236328125
55.0,-1.76361083984375,0.070220947265625
60.0,-1.7686767578125,0.06640625
65.0,-1.776123046875,0.070770263671875
70.0,-1.78314208984375,0.072235107421875
75.0,-1.79339599609375,0.073150634765625
80.0,-1.796630859375,0.07708740234375
85.0,-1.802001953125,0.0875244140625
90.0,-1.80364990234375,0.09136962890625
95.0,-1.80419921875,0.086395263671875
100.0,-1.80364990234375,0.08514404296875
105.0,-1.81109619140625,0.085052490234375
110.0,-1.8162841796875,0.08758544921875
115.0,-1.82037353515625,0.08404541015625
120.0,-1.82208251953125,0.086669921875
125.0,-1.82635498046875,0.081817626953125
130.0,-1.8304443359375,0.08221435546875
135.0,-1.83056640625,0.07440185546875
140.0,-1.83514404296875,0.070343017578125
145.0,-1.8338623046875,0.07489013671875
150.0,-1.83953857421875,0.076019287109375
155.0,-1.8310546875,0.076751708984375
160.0,-1.8363037109375,0.073760986328125
165.0,-1.84124755859375,0.0726318359375
170.0,-1.83758544921875,0.0677490234375
175.0,-1.839599609375,0.065093994140625
180.0,-1.84112548828125,0.065704345703125
185.0,-1.83831787109375,0.07171630859375
190.0,-1.84161376953125,0.07501220703125
195.0,-1.844970703125,0.07855224609375
200.0,-1.84332275390625,0.0772705078125
