time,mean,energy_density,min,max
1.550000000000000000e+02,4.999999999999996669e-01,4.376889953412264195e-02,2.411691054748568708e-02,9.742317213348223870e-01
1.600000000000000000e+02,5.000000000000000000e-01,4.352855485782206740e-02,2.458089796029008789e-02,9.745458096686367977e-01
1.650000000000000000e+02,4.999999999999999445e-01,4.329241484245009014e-02,2.514598971650616743e-02,9.743901540042911869e-01
1.700000000000000000e+02,4.999999999999999445e-01,4.305908847826789287e-02,2.595955974068553385e-02,9.741061097558223469e-01
1.750000000000000000e+02,5.000000000000000000e-01,4.282849319291712892e-02,2.646103136893335206e-02,9.738804093829374064e-01
1.800000000000000000e+02,4.999999999999996669e-01,4.260366986341526663e-02,2.633133950082608421e-02,9.739980605798912450e-01
1.850000000000000000e+02,4.999999999999994449e-01,4.238691135211207495e-02,2.627428725933930731e-02,9.753697635916058761e-01
1.900000000000000000e+02,4.999999999999991118e-01,4.217906046338491810e-02,2.629519555089046556e-02,9.764608720547565124e-01
1.950000000000000000e+02,4.999999999999993339e-01,4.197938369226613536e-02,2.567569712736306187e-02,9.772951393923803298e-01
2.000000000000000000e+02,4.999999999999991118e-01,4.178633220153955136e-02,2.506062533517969954e-02,9.779434864468264932e-01
2.050000000000000000e+02,4.999999999999995004e-01,4.159951960940454219e-02,2.460041520602113813e-02,9.784527784740044698e-01
2.100000000000000000e+02,4.999999999999995004e-01,4.142009731112238080e-02,2.429871909185857271e-02,9.788519569809150944e-01
2.150000000000000000e+02,4.999999999999993339e-01,4.124897153443446429e-02,2.412871308167233164e-02,9.791595390853911063e-01
2.200000000000000000e+02,4.999999999999992784e-01,4.108605497535357948e-02,2.405790309795023674e-02,9.794962272987277618e-01
2.250000000000000000e+02,4.999999999999991673e-01,4.093077642077270345e-02,2.405824352513502573e-02,9.797531980122992090e-01
2.300000000000000000e+02,4.999999999999991118e-01,4.078259247354257266e-02,2.410851273198152955e-02,9.799353228111556957e-01
2.350000000000000000e+02,4.999999999999990563e-01,4.064141276440011441e-02,2.414393760543748213e-02,9.800459978867794852e-01
2.400000000000000000e+02,4.999999999999986122e-01,4.050670187557552093e-02,2.411608751976926368e-02,9.800882147021201529e-01
2.450000000000000000e+02,4.999999999999986122e-01,4.037743718480515942e-02,2.409196114361930596e-02,9.800636441593331138e-01
2.500000000000000000e+02,4.999999999999982236e-01,4.025258038285479262e-02,2.410253036460109632e-02,9.799711945386513356e-01
2.550000000000000000e+02,4.999999999999981126e-01,4.013132090295395971e-02,2.414131831302607223e-02,9.798069474598782858e-01
2.600000000000000000e+02,4.999999999999980016e-01,4.001305196182383672e-02,2.420269109409746433e-02,9.795646388892287337e-01
2.650000000000000000e+02,4.999999999999976685e-01,3.989702697677881271e-02,2.410809005188585541e-02,9.792354793664936885e-01
2.700000000000000000e+02,4.999999999999974465e-01,3.978233047313262799e-02,2.407157693888939409e-02,9.788073265324810368e-01
2.750000000000000000e+02,4.999999999999972244e-01,3.966801236567519401e-02,2.411638870246907151e-02,9.782636132419243458e-01
2.800000000000000000e+02,4.999999999999974465e-01,3.955395695695651526e-02,2.405077158642635049e-02,9.775820522183736871e-01
2.850000000000000000e+02,4.999999999999974465e-01,3.944177008774951698e-02,2.394828116982652966e-02,9.767327304963927537e-01
2.900000000000000000e+02,4.999999999999976685e-01,3.933250303088038635e-02,2.388235044924386097e-02,9.758762657753343728e-01
2.950000000000000000e+02,4.999999999999977796e-01,3.922547632887565805e-02,2.385056444334449077e-02,9.758601634327358498e-01
3.000000000000000000e+02,4.999999999999978351e-01,3.911925080063566318e-02,2.385186158481900076e-02,9.758779739490237581e-01
3.050000000000000000e+02,4.999999999999973355e-01,3.901236710306206501e-02,2.388641735470942162e-02,9.758609175830100790e-01
3.100000000000000000e+02,4.999999999999971689e-01,3.890358817628728622e-02,2.395554700554469729e-02,9.758079699300820087e-01
3.150000000000000000e+02,4.999999999999972244e-01,3.879233287641088712e-02,2.397545103112164178e-02,9.757203867110539885e-01
3.200000000000000000e+02,4.999999999999971689e-01,3.868086270431533857e-02,2.391277984257383915e-02,9.756878493697012100e-01
3.250000000000000000e+02,4.999999999999969469e-01,3.857193086744470367e-02,2.387450809569474641e-02,9.758948597581758033e-01
3.300000000000000000e+02,4.999999999999970579e-01,3.846718970392710296e-02,2.386278197157942760e-02,9.761086633670917889e-01
3.350000000000000000e+02,4.999999999999971134e-01,3.836672862623822372e-02,2.381712807396174636e-02,9.762947450150692985e-01
3.400000000000000000e+02,4.999999999999971134e-01,3.826951693290743528e-02,2.373781786765727375e-02,9.764494493114258544e-01
3.450000000000000000e+02,4.999999999999968914e-01,3.817465129109125221e-02,2.356043821534192784e-02,9.765680692994627154e-01
3.500000000000000000e+02,4.999999999999971134e-01,3.808232858310826169e-02,2.331601869054773790e-02,9.766951055597959952e-01
3.550000000000000000e+02,4.999999999999973910e-01,3.799270380449984441e-02,2.310661004720195033e-02,9.767946664371063292e-01
3.600000000000000000e+02,4.999999999999976685e-01,3.790500214021805259e-02,2.293729771046681964e-02,9.768514711110558579e-01
3.650000000000000000e+02,4.999999999999976130e-01,3.781742552345488534e-02,2.281262517611115648e-02,9.768588696850661890e-01
3.700000000000000000e+02,4.999999999999975020e-01,3.772822405977366983e-02,2.273654015374479420e-02,9.768084299350556776e-01
3.750000000000000000e+02,4.999999999999976130e-01,3.764321731483968869e-02,2.271272442939561986e-02,9.766884575221804754e-01
3.800000000000000000e+02,4.999999999999973355e-01,3.756441684773060424e-02,2.274515281663966326e-02,9.764811684313700058e-01
3.850000000000000000e+02,4.999999999999976130e-01,3.748912093765653653e-02,2.283860938951501329e-02,9.761581333672633143e-01
3.900000000000000000e+02,4.999999999999977796e-01,3.741518221107327513e-02,2.297441345950518299e-02,9.761548092763514539e-01
3.950000000000000000e+02,4.999999999999978906e-01,3.734114619143916181e-02,2.295718683241748659e-02,9.761769674094736837e-01
4.000000000000000000e+02,4.999999999999978351e-01,3.726635219282117134e-02,2.297097549811477624e-02,9.761899602751010763e-01
