step,dimensionless_time,mean_c,energy_density
720,144.0,-5.984795992119984e-17,0.12903479477595786
730,146.0,-6.938893903907228e-17,0.12849970312847764
740,148.0,-6.678685382510707e-17,0.12800914599014193
750,150.0,-7.632783294297951e-17,0.12754659259346696
760,152.0,-8.933825901280557e-17,0.12709954695321518
770,154.0,-9.71445146547012e-17,0.12665991111054936
780,156.0,-9.194034422677078e-17,0.1262222587561861
790,158.0,-8.239936510889834e-17,0.12578282961336612
800,160.0,-1.0234868508263162e-16,0.12533848882940285
810,162.0,-1.0408340855860843e-16,0.12488474533169105
820,164.0,-1.0581813203458523e-16,0.12441378761230758
830,166.0,-1.0061396160665481e-16,0.12392035491079365
840,168.0,-1.0148132334464322e-16,0.12342736931127117
850,170.0,-1.0321604682062002e-16,0.1229715763219601
860,172.0,-9.454242944073599e-17,0.12255781787771691
870,174.0,-1.0148132334464322e-16,0.12217565900878496
880,176.0,-8.760353553682876e-17,0.12181511261136377
890,178.0,-1.0234868508263162e-16,0.12146918502202614
900,180.0,-1.0755285551056204e-16,0.12113343233804555
910,182.0,-9.540979117872439e-17,0.12080511938846611
920,184.0,-9.194034422677078e-17,0.1204825321523629
930,186.0,-9.280770596475918e-17,0.12016451311872475
940,188.0,-9.107298248878237e-17,0.1198501674147073
950,190.0,-8.760353553682876e-17,0.11953867415078998
960,192.0,-8.847089727481716e-17,0.11922915246017152
970,194.0,-8.066464163292153e-17,0.11892056014035214
980,196.0,-7.892991815694472e-17,0.11861166340448584
990,198.0,-9.71445146547012e-17,0.11830123161683946
1000,200.0,-7.979727989493313e-17,0.11798864789342679
1010,202.0,-7.546047120499111e-17,0.11767463129707856
1020,204.0,-7.546047120499111e-17,0.11736106638306992
1030,206.0,-8.413408858487514e-17,0.11704987085467763
1040,208.0,-8.586881206085195e-17,0.11674219740486824
1050,210.0,-9.280770596475918e-17,0.11643845491869176
1060,212.0,-8.673617379884035e-17,0.11613864087321063
1070,214.0,-8.847089727481716e-17,0.11584258961883337
1080,216.0,-8.673617379884035e-17,0.11555007708234363
1090,218.0,-6.852157730108388e-17,0.11526085142709616
1100,220.0,-8.500145032286355e-17,0.11497464843780314
1110,222.0,-7.546047120499111e-17,0.11469120833638814
