time,AC_mean,CH_mean,AC_energy_per_area,CH_energy_per_area
1.158974278591471618e+00,2.260154574525122251e-01,2.260154574525122806e-01,1.542876957955185424e-01,1.645822988884114435e-01
1.257601145427218459e+00,2.260154574525122528e-01,2.260154574525122251e-01,1.533773771864981872e-01,1.645133528692336311e-01
1.364621001686041835e+00,2.260154574525122528e-01,2.260154574525122528e-01,1.523956669427116717e-01,1.644386292193308896e-01
1.480748077412106234e+00,2.260154574525122806e-01,2.260154574525122528e-01,1.513375218132568256e-01,1.643576520068051883e-01
1.606757382489781838e+00,2.260154574525122251e-01,2.260154574525122528e-01,1.501976401565927599e-01,1.642699075474774728e-01
1.743489878911328450e+00,2.260154574525122528e-01,2.260154574525122528e-01,1.489704669753356137e-01,1.641748416680837153e-01
1.891858093196325807e+00,2.260154574525122528e-01,2.260154574525122251e-01,1.476502033191153807e-01,1.640718568177605696e-01
2.052852206419070402e+00,2.260154574525122528e-01,2.260154574525122251e-01,1.462308209091757460e-01,1.639603090284337539e-01
2.227546662487607687e+00,2.260154574525122528e-01,2.260154574525122528e-01,1.447060829437406548e-01,1.638395047269374238e-01
2.417107338776799619e+00,2.260154574525122528e-01,2.260154574525122528e-01,1.430695721512667828e-01,1.637086974044151266e-01
2.622799326970850498e+00,2.260154574525122528e-01,2.260154574525122251e-01,1.413147272662810539e-01,1.635670841518692686e-01
2.845995376043154668e+00,2.260154574525122528e-01,2.260154574525122528e-01,1.394348892050207844e-01,1.634138020747287201e-01
3.088185053720290174e+00,2.260154574525122528e-01,2.260154574525122806e-01,1.374233583094727207e-01,1.632479246040977050e-01
3.350984687572022835e+00,2.260154574525122251e-01,2.260154574525122806e-01,1.352734641006912708e-01,1.630684577280474001e-01
3.636148152072247175e+00,2.260154574525122528e-01,2.260154574525122528e-01,1.329786490253328513e-01,1.628743361730429495e-01
3.945578573621651763e+00,2.260154574525122528e-01,2.260154574525122251e-01,1.305325676805021984e-01,1.626644195734939513e-01
4.281341031649184004e+00,2.260154574525122528e-01,2.260154574525122528e-01,1.279292029457703150e-01,1.624374886766195569e-01
4.645676340557039374e+00,2.260154574525122251e-01,2.260154574525122528e-01,1.251630003190347673e-01,1.621922416404789069e-01
5.041016004487237190e+00,2.260154574525122251e-01,2.260154574525122528e-01,1.222290215230235483e-01,1.619272904952811509e-01
5.469998444715043817e+00,2.260154574525122806e-01,2.260154574525122528e-01,1.191231180969130887e-01,1.616411578520978443e-01
5.935486607967731310e+00,2.260154574525122251e-01,2.260154574525122251e-01,1.158421251853355705e-01,1.613322739589933830e-01
6.440587073183266398e+00,2.260154574525122528e-01,2.260154574525122528e-01,1.123840750558454671e-01,1.609989742224644527e-01
6.988670784223748100e+00,2.260154574525122528e-01,2.260154574525122251e-01,1.087484289863202419e-01,1.606394973320193764e-01
7.583395546909764029e+00,2.260154574525122251e-01,2.260154574525122528e-01,1.049363250384663382e-01,1.602519841477432760e-01
8.228730440516580202e+00,2.260154574525122528e-01,2.260154574525122528e-01,1.009508378506437376e-01,1.598344775347319280e-01
8.928982306649803746e+00,2.260154574525122806e-01,2.260154574525122528e-01,9.679724493053507017e-02,1.593849233541703159e-01
9.688824492282213541e+00,2.260154574525122528e-01,2.260154574525122528e-01,9.248329200941576844e-02,1.589011728482870589e-01
1.051332803877729027e+01,2.260154574525122251e-01,2.260154574525122251e-01,8.801944786155671552e-02,1.583809866849527626e-01
1.140799552504900838e+01,2.260154574525122528e-01,2.260154574525122806e-01,8.341913665279218626e-02,1.578220409566152005e-01
1.237879779072069120e+01,2.260154574525122528e-01,2.260154574525122528e-01,7.869893346077155849e-02,1.572219354565999871e-01
